序号	文件名	起始点	终止点	距离	所选区域的总像素	平均灰度							
43	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'1'59'859.jpg	(342:507)	(797:795)	538	131040	79.83			12	79.14	79.08	78.74	0
44	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'2'11'921.jpg	(342:507)	(797:795)	538	131040	81.95			24	80.59	80.62	79.83	0.2
45	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'2'18'750.jpg	(342:507)	(797:795)	538	131040	82.61			36	81.31	81.56	81.03	0.4
46	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'2'24'296.jpg	(342:507)	(797:795)	538	131040	82.48			48	82.15	82.42	81.95	0.6
47	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'2'30'156.jpg	(342:507)	(797:795)	538	131040	82.28			60	82.59	82.55	82.28	0.8
48	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'2'36'562.jpg	(342:507)	(797:795)	538	131040	82.56			72	82.91	82.65	82.48	1
49	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'2'42'312.jpg	(342:507)	(797:795)	538	131040	82.96			84	83.03	82.76	82.56	1.2
50	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'2'49'578.jpg	(342:507)	(797:795)	538	131040	82.76			96	83.16	83	82.61	1.4
51	d:\我的文档\桌面\2019012137\锐化滞回线\1\18'2'6'46.jpg	(342:507)	(797:795)	538	131040	81.03			108	83.2	83.11	82.76	1.6
									120	83.3		82.96	1.8
													2
